metric,sessionsCount,sessionsWithMetricPercentage,sessionsWithoutMetricPercentage,pagesViews,subTotal,Url,Source,averageScrollDepth,totalSessionCount,totalBotSessionCount,distinctUserCount,pagesPerSessionPercentage,totalTime,activeTime
DeadClickCount,1,0,100,0,0,https://www.limingdao.com/zh/tools/%E8%BF%99%E4%B8%AA-%E5%BC%80%E6%BA%90Skill%E8%87%AA%E5%8A%A8%E6%8E%92%E7%89%88%E5%8F%91%E9%80%81%E5%88%B0%E5%85%AC%E4%BC%97%E5%8F%B7%E8%8D%89%E7%A8%BF%E4%B8%8D%E8%8A%B1%E4%B8%80%E5%88%86%E9%92%B1,,,,,,,,
DeadClickCount,1,0,100,0,0,https://www.limingdao.com/en/exit?to=https%3A%2F%2Fwww.youtube.com%2F%40TwoMinutePapers,,,,,,,,
DeadClickCount,9,11.11,88.89,1,1,https://www.limingdao.com/zh,,,,,,,,
DeadClickCount,1,0,100,0,0,https://www.limingdao.com/en/categories/marketing-seo,,,,,,,,
DeadClickCount,1,0,100,0,0,https://www.limingdao.com/zh/tools/%E5%B7%A8%E6%97%A5%E7%A6%84,,,,,,,,
DeadClickCount,1,0,100,0,0,https://www.limingdao.com/zh/tools/DeepReel,,,,,,,,
DeadClickCount,1,0,100,0,0,https://www.limingdao.com/zh/guides/geo-keyword-content-checklist,www.limingdao.com,,,,,,,
DeadClickCount,1,0,100,0,0,https://www.limingdao.com/en/exit?to=https%3A%2F%2Fspace.bilibili.com%2F697174669%2F,,,,,,,,
DeadClickCount,1,0,100,0,0,https://www.limingdao.com/zh/categories/marketing-seo,www.limingdao.com,,,,,,,
DeadClickCount,1,0,100,0,0,https://www.limingdao.com/zh/accounts/liyongle-laoshi,,,,,,,,
DeadClickCount,1,0,100,0,0,https://www.limingdao.com/zh/tools/KDBooks,,,,,,,,
DeadClickCount,1,0,100,0,0,https://www.limingdao.com/zh/tools/TechGPT-%E4%B8%9C%E5%8C%97%E5%A4%A7%E5%AD%A6,,,,,,,,
DeadClickCount,1,0,100,0,0,https://www.limingdao.com/en/exit?to=https%3A%2F%2Fwww.douyin.com%2Fsearch%2Fspzp_04,,,,,,,,
DeadClickCount,1,0,100,0,0,https://www.limingdao.com/zh/tools/%E8%AE%AF%E9%A3%9E%E6%99%BA%E4%BD%9C,,,,,,,,
DeadClickCount,1,0,100,0,0,https://www.limingdao.com/zh/guides/senior-content-themes,,,,,,,,
DeadClickCount,1,0,100,0,0,https://www.limingdao.com/zh/tools/EasyClaw,,,,,,,,
DeadClickCount,1,0,100,0,0,https://www.limingdao.com/zh,www.limingdao.com,,,,,,,
DeadClickCount,1,0,100,0,0,https://www.limingdao.com/zh/accounts/nvsheng-sushe-riji,,,,,,,,
DeadClickCount,1,0,100,0,0,https://www.limingdao.com/categories/AI%E5%BA%94%E7%94%A8,,,,,,,,
DeadClickCount,1,0,100,0,0,https://www.limingdao.com/en/exit?to=https%3A%2F%2Fspace.bilibili.com%2F73842852%2F,,,,,,,,
DeadClickCount,1,0,100,0,0,https://www.limingdao.com/zh/tools/%E5%A2%A8%E7%8B%90AI%E5%86%99%E5%B0%8F%E8%AF%B4,,,,,,,,
DeadClickCount,1,0,100,0,0,https://www.limingdao.com/zh/tools/%E5%BF%97%E6%84%BF%E7%A9%BA%E9%97%B4,,,,,,,,
DeadClickCount,1,0,100,0,0,https://www.limingdao.com/,,,,,,,,
DeadClickCount,1,0,100,0,0,https://www.limingdao.com/zh/tools/fliki,,,,,,,,
DeadClickCount,1,0,100,0,0,https://www.limingdao.com/zh/exit?to=https%3A%2F%2Fxingyuexiezuo.com%2F,,,,,,,,
DeadClickCount,1,0,100,0,0,https://www.limingdao.com/zh/tools/TinyWow,,,,,,,,
DeadClickCount,1,0,100,0,0,https://www.limingdao.com/en/tools/%E6%A0%87%E6%8E%A2%E9%95%BFAI%E6%A0%87%E4%B9%A6,,,,,,,,
DeadClickCount,1,0,100,0,0,https://www.limingdao.com/zh/tools/Presentations.AI,,,,,,,,
DeadClickCount,1,0,100,0,0,https://www.limingdao.com/zh/tools/Wanderboat,,,,,,,,
DeadClickCount,1,0,100,0,0,https://www.limingdao.com/zh/tools/AI-%E5%9B%BE%E5%83%8F%E5%A2%9E%E5%BC%BA%E5%B7%A5%E5%85%B7,,,,,,,,
DeadClickCount,1,0,100,0,0,https://www.limingdao.com/zh/exit?to=https%3A%2F%2Fwww.moonstatistics.com%2Fhome,,,,,,,,
DeadClickCount,1,0,100,0,0,https://www.limingdao.com/zh/tools/Onlook,,,,,,,,
DeadClickCount,1,0,100,0,0,https://www.limingdao.com/zh/exit?to=https%3A%2F%2Fmagnific.ai%2F,,,,,,,,
DeadClickCount,1,0,100,0,0,https://www.limingdao.com/zh/guides/home-appliances-buying-guide,,,,,,,,
DeadClickCount,1,0,100,0,0,https://www.limingdao.com/categories/AI%E5%86%99%E4%BD%9C,,,,,,,,
